"tm_name";"conference"
"Memphis";"Conference USA"
"North Carolina";"Atlantic Coast"
"Tennessee";"Southeastern"
"Kansas";"Big 12"
"UCLA";"Pacific-10"
"Texas";"Big 12"
"Xavier";"Atlantic 10"
"Georgetown";"Big East"
"Duke";"Atlantic Coast"
"Louisville";"Big East"
"Drake";"Missouri Valley"
"Wisconsin";"Big Ten"
"Butler";"Horizon"
"Michigan St.";"Big Ten"
"Davidson";"Southern"
"Stanford";"Pacific-10"
"Vanderbilt";"Southeastern"
"Pittsburgh";"Big East"
"Kent St.";"Mid-American"
"UNLV";"Mountain West"
"Washington St.";"Pacific-10"
"Marquette";"Big East"
"Connecticut";"Big East"
"Dayton";"Atlantic 10"
"BYU";"Mountain West"
"Western Ky.";"Sun Belt"
"Indiana";"Big Ten"
"West Virginia";"Big East"
"Gonzaga";"West Coast"
"Notre Dame";"Big East"
"Massachusetts";"Atlantic 10"
"Clemson";"Atlantic Coast"
"Arkansas";"Southeastern"
"Oklahoma";"Big 12"
"Illinois St.";"Missouri Valley"
"Ohio St.";"Big Ten"
"St. Mary's (Cal.)";"West Coast"
"South Ala.";"Sun Belt"
"Miami (Fla.)";"Atlantic Coast"
"Southern California";"Pacific-10"
"Texas A&M";"Big 12"
"Mississippi St.";"Southeastern"
"Oral Roberts";"Summit"
"Villanova";"Big East"
"Creighton";"Missouri Valley"
"Mississippi";"Southeastern"
"Purdue";"Big Ten"
"St. Joseph's";"Atlantic 10"
"UAB";"Conference USA"
"Arizona";"Pacific-10"
"Temple";"Atlantic 10"
"Baylor";"Big 12"
"Kansas St.";"Big 12"
"VCU";"Colonial"
"Siena";"Metro Atlantic"
"Stephen F. Austin";"Southland"
"Akron";"Mid-American"
"Syracuse";"Big East"
"George Mason";"Colonial"
"IUPUI";"Summit"
"Cleveland St.";"Horizon"
"Belmont";"Atlantic Sun"
"Virginia Tech";"Atlantic Coast"
"Austin Peay";"OVC"
"Florida";"Southeastern"
"Cornell";"Ivy"
"Houston";"Conference USA"
"UMBC";"America East"
"Southern Ill.";"Missouri Valley"
"Cal St. Fullerton";"Big West"
"American";"Patriot"
"Oregon";"Pacific-10"
"New Mexico";"Mountain West"
"Ohio";"Mid-American"
"Kentucky";"Southeastern"
"Portland St.";"Big Sky"
"Miami (Ohio)";"Mid-American"
"Charlotte";"Atlantic 10"
"Florida St.";"Atlantic Coast"
"Tulsa";"Conference USA"
"Wright St.";"Horizon"
"Utah St.";"Western Athletic"
"Rhode Island";"Atlantic 10"
"UC Santa Barbara";"Big West"
"Georgia Tech";"Atlantic Coast"
"San Diego St.";"Mountain West"
"San Diego";"West Coast"
"Valparaiso";"Horizon"
"Boise St.";"Western Athletic"
"Sam Houston St.";"Southland"
"Maryland";"Atlantic Coast"
"Texas Tech";"Big 12"
"Utah";"Mountain West"
"Arizona St.";"Pacific-10"
"Oklahoma St.";"Big 12"
"Bradley";"Missouri Valley"
"Nevada";"Western Athletic"
"California";"Pacific-10"
"Cal St. Northridge";"Big West"
"Nebraska";"Big 12"
"Marist";"Metro Atlantic"
"Niagara";"Metro Atlantic"
"Winthrop";"Big South"
"Rider";"Metro Atlantic"
"Morgan St.";"Mid-Eastern"
"Wagner";"Northeast"
"Middle Tenn.";"Sun Belt"
"Western Mich.";"Mid-American"
"Brown";"Ivy"
"UNC Greensboro";"Southern"
"Georgia";"Southeastern"
"Northern Ariz.";"Big Sky"
"UNC Wilmington";"Colonial"
"UTEP";"Conference USA"
"Old Dominion";"Colonial"
"Southern Miss.";"Conference USA"
"Ga. Southern";"Southern"
"Wake Forest";"Atlantic Coast"
"Illinois";"Big Ten"
"Texas-Arlington";"Southland"
"North Carolina St.";"Atlantic Coast"
"Robert Morris";"Northeast"
"East Tenn. St.";"Atlantic Sun"
"Alabama";"Southeastern"
"Duquesne";"Atlantic 10"
"Missouri St.";"Missouri Valley"
"Hampton";"Mid-Eastern"
"Minnesota";"Big Ten"
"Ill.-Chicago";"Horizon"
"Richmond";"Atlantic 10"
"Loyola (Md.)";"Metro Atlantic"
"Seton Hall";"Big East"
"Missouri";"Big 12"
"Providence";"Big East"
"Chattanooga";"Southern"
"Pacific";"Big West"
"Holy Cross";"Patriot"
"St. Louis";"Atlantic 10"
"Lamar";"Southland"
"Cincinnati";"Big East"
"Indiana St.";"Missouri Valley"
"New Mexico St.";"Western Athletic"
"Green Bay";"Horizon"
"UNC Asheville";"Big South"
"UNI";"Missouri Valley"
"Mt. St. Mary's";"Northeast"
"North Texas";"Sun Belt"
"Jacksonville";"Atlantic Sun"
"Virginia";"Atlantic Coast"
"Marshall";"Conference USA"
"Boston College";"Atlantic Coast"
"Appalachian St.";"Southern"
"Washington";"Pacific-10"
"William & Mary";"Colonial"
"Sacred Heart";"Northeast"
"UC Irvine";"Big West"
"South Carolina";"Southeastern"
"Hartford";"America East"
"Oakland";"Summit"
"Fairfield";"Metro Atlantic"
"La Salle";"Atlantic 10"
"Colgate";"Patriot"
"Lafayette";"Patriot"
"UCF";"Conference USA"
"New Orleans";"Sun Belt"
"DePaul";"Big East"
"St. John's (N.Y.)";"Big East"
"Auburn";"Southeastern"
"Air Force";"Mountain West"
"Tulane";"Conference USA"
"Delaware";"Colonial"
"Milwaukee";"Horizon"
"Ark.-Little Rock";"Sun Belt"
"Fordham";"Atlantic 10"
"Penn St.";"Big Ten"
"Yale";"Ivy"
"Colorado";"Big 12"
"Northeastern";"Colonial"
"Murray St.";"OVC"
"La.-Lafayette";"Sun Belt"
"Vermont";"America East"
"Quinnipiac";"Northeast"
"Central Mich.";"Mid-American"
"Toledo";"Mid-American"
"Northwestern St.";"Southland"
"Michigan";"Big Ten"
"Weber St.";"Big Sky"
"Santa Clara";"West Coast"
"Southeastern La.";"Southland"
"Alabama St.";"Southwestern"
"LSU";"Southeastern"
"Iowa St.";"Big 12"
"North Dakota St.";"Division I Independents"
"George Washington";"Atlantic 10"
"Delaware St.";"Mid-Eastern"
"Gardner-Webb";"Atlantic Sun"
"Mississippi Val.";"Southwestern"
"Wofford";"Southern"
"Central Conn. St.";"Northeast"
"Albany (N.Y.)";"America East"
"Bucknell";"Patriot"
"South Fla.";"Big East"
"Tenn.-Martin";"OVC"
"Long Island";"Northeast"
"Col. of Charleston";"Southern"
"Tennessee St.";"OVC"
"Army";"Patriot"
"Pepperdine";"West Coast"
"Chicago St.";"Division I Independents"
"Lipscomb";"Atlantic Sun"
"Bowling Green";"Mid-American"
"TCU";"Mountain West"
"Wichita St.";"Missouri Valley"
"Iowa";"Big Ten"
"IPFW";"Summit"
"Elon";"Southern"
"Navy";"Patriot"
"James Madison";"Colonial"
"Coppin St.";"Mid-Eastern"
"Morehead St.";"OVC"
"UTSA";"Southland"
"N.C. A&T";"Mid-Eastern"
"McNeese St.";"Southland"
"Columbia";"Ivy"
"Montana";"Big Sky"
"Boston U.";"America East"
"Towson";"Colonial"
"Iona";"Metro Atlantic"
"Loyola (Ill.)";"Horizon"
"Youngstown St.";"Horizon"
"Binghamton";"America East"
"High Point";"Big South"
"Southern Utah";"Summit"
"Cal Poly";"Big West"
"Montana St.";"Big Sky"
"Rutgers";"Big East"
"Utah Valley St.";"Division I Independents"
"Eastern Mich.";"Mid-American"
"Drexel";"Colonial"
"Wyoming";"Mountain West"
"Lehigh";"Patriot"
"Eastern Ky.";"OVC"
"Hofstra";"Colonial"
"Texas St.";"Southland"
"Fla. Atlantic";"Sun Belt"
"Northwestern";"Big Ten"
"Florida A&M";"Mid-Eastern"
"Nicholls St.";"Southland"
"Stetson";"Atlantic Sun"
"Troy";"Sun Belt"
"San Jose St.";"Western Athletic"
"Savannah St.";"Division I Independents"
"Norfolk St.";"Mid-Eastern"
"Fresno St.";"Western Athletic"
"Samford";"OVC"
"Jackson St.";"Southwestern"
"A&M-Corpus Christi";"Southland"
"Idaho St.";"Big Sky"
"Liberty";"Big South"
"La.-Monroe";"Sun Belt"
"Evansville";"Missouri Valley"
"Penn";"Ivy"
"Western Ill.";"Summit"
"St. Bonaventure";"Atlantic 10"
"East Carolina";"Conference USA"
"South Carolina St.";"Mid-Eastern"
"San Francisco";"West Coast"
"Tennessee Tech";"OVC"
"Central Ark.";"Division I Independents"
"Tex.-Pan American";"Division I Independents"
"Manhattan";"Metro Atlantic"
"VMI";"Big South"
"Colorado St.";"Mountain West"
"Buffalo";"Mid-American"
"Florida Int'l";"Sun Belt"
"SMU";"Conference USA"
"N.C. Central";"Division I Independents"
"Denver";"Sun Belt"
"Northern Colo.";"Big Sky"
"Coastal Caro.";"Big South"
"Alabama A&M";"Southwestern"
"Fairleigh Dickinson";"Northeast"
"Georgia St.";"Colonial"
"Eastern Wash.";"Big Sky"
"UMKC";"Summit"
"Detroit";"Horizon"
"Southeast Mo. St.";"OVC"
"Centenary (La.)";"Summit"
"Hawaii";"Western Athletic"
"Fla. Gulf Coast";"Division I Independents"
"Arkansas St.";"Sun Belt"
"Southern U.";"Southwestern"
"Oregon St.";"Pacific-10"
"Northern Ill.";"Mid-American"
"Western Caro.";"Southern"
"UC Riverside";"Big West"
"Monmouth";"Northeast"
"Ball St.";"Mid-American"
"Portland";"West Coast"
"New Hampshire";"America East"
"Dartmouth";"Ivy"
"Furman";"Southern"
"S.C. Upstate";"Division I Independents"
"Ark.-Pine Bluff";"Southwestern"
"Harvard";"Ivy"
"UC Davis";"Big West"
"Campbell";"Atlantic Sun"
"Winston-Salem";"Division I Independents"
"St. Francis (N.Y.)";"Northeast"
"Loyola Marymount";"West Coast"
"Radford";"Big South"
"St. Peter's";"Metro Atlantic"
"Bethune-Cookman";"Mid-Eastern"
"Mercer";"Atlantic Sun"
"St. Francis (Pa.)";"Northeast"
"Idaho";"Western Athletic"
"Rice";"Conference USA"
"Texas Southern";"Southwestern"
"Canisius";"Metro Atlantic"
"Prairie View";"Southwestern"
"Cal St. Bakersfield";"Division I Independents"
"Grambling";"Southwestern"
"Kennesaw St.";"Division I Independents"
"Stony Brook";"America East"
"Longwood";"Division I Independents"
"Howard";"Mid-Eastern"
"Maine";"America East"
"Charleston So.";"Big South"
"South Dakota St.";"Division I Independents"
"Long Beach St.";"Big West"
"Louisiana Tech";"Western Athletic"
"Princeton";"Ivy"
"Presbyterian";"Division I Independents"
"Alcorn St.";"Southwestern"
"Eastern Ill.";"OVC"
"Citadel";"Southern"
"Sacramento St.";"Big Sky"
"Jacksonville St.";"OVC"
"Md.-East. Shore";"Mid-Eastern"
"North Fla.";"Division I Independents"
"NJIT";"Division I Independents"