"wid";"gametime";"h_id";"v_id"
"1";"2008-09-04 19:00:00";"17";"18"
"1";"2008-09-07 13:00:00";"7";"5"
"1";"2008-09-07 13:00:00";"2";"4"
"1";"2008-09-07 13:00:00";"1";"14"
"1";"2008-09-07 13:00:00";"6";"12"
"1";"2008-09-07 13:00:00";"11";"10"
"1";"2008-09-07 13:00:00";"27";"23"
"1";"2008-09-07 13:00:00";"3";"29"
"1";"2008-09-07 13:00:00";"28";"25"
"1";"2008-09-07 13:00:00";"20";"30"
"1";"2008-09-07 16:15:00";"8";"19"
"1";"2008-09-07 16:15:00";"15";"26"
"1";"2008-09-07 16:15:00";"32";"31"
"1";"2008-09-07 20:15:00";"9";"21"
"1";"2008-09-08 19:00:00";"24";"22"
"1";"2008-09-08 22:15:00";"16";"13"
"2";"2008-09-14 13:00:00";"5";"11"
"2";"2008-09-14 13:00:00";"10";"3"
"2";"2008-09-14 13:00:00";"14";"16"
"2";"2008-09-14 13:00:00";"22";"9"
"2";"2008-09-14 13:00:00";"26";"21"
"2";"2008-09-14 13:00:00";"23";"24"
"2";"2008-09-14 13:00:00";"30s";"17"
"2";"2008-09-14 13:00:00";"18";"28"
"2";"2008-09-14 16:05:00";"25";"27"
"2";"2008-09-14 16:05:00";"29";"32"
"2";"2008-09-14 16:15:00";"4";"1"
"2";"2008-09-14 16:15:00";"13";"15"
"2";"2008-09-14 16:15:00";"31";"2"
"2";"2008-09-14 16:15:00";"12";"7"
"2";"2008-09-14 20:15:00";"8";"6"
"2";"2008-09-15 20:30:00";"19";"20"
"3";"2008-09-21 13:00:00";"27";"14"
"3";"2008-09-21 13:00:00";"3";"16"
"3";"2008-09-21 13:00:00";"17";"5"
"3";"2008-09-21 13:00:00";"1";"2"
"3";"2008-09-21 13:00:00";"11";"12"
"3";"2008-09-21 13:00:00";"21";"25"
"3";"2008-09-21 13:00:00";"18";"31"
"3";"2008-09-21 13:00:00";"22";"26"
"3";"2008-09-21 16:05:00";"13";"28"
"3";"2008-09-21 16:05:00";"32";"23"
"3";"2008-09-21 16:05:00";"29";"30s"
"3";"2008-09-21 16:15:00";"9";"10"
"3";"2008-09-21 16:15:00";"20";"6"
"3";"2008-09-21 16:15:00";"7";"8"
"3";"2008-09-21 20:15:00";"24";"19"
"3";"2008-09-22 20:30:00";"15";"4"
"4";"2008-09-28 13:00:00";"5";"8"
"4";"2008-09-28 13:00:00";"10";"12"
"4";"2008-09-28 13:00:00";"14";"13"
"4";"2008-09-28 13:00:00";"26";"27"
"4";"2008-09-28 13:00:00";"4";"31"
"4";"2008-09-28 13:00:00";"28";"32"
"4";"2008-09-28 13:00:00";"25";"24"
"4";"2008-09-28 13:00:00";"11";"22"
"4";"2008-09-28 16:05:00";"16";"15"
"4";"2008-09-28 16:05:00";"30s";"3"
"4";"2008-09-28 16:15:00";"19";"18"
"4";"2008-09-28 20:15:00";"21";"20"
"4";"2008-09-29 20:30:00";"6";"7"
"5";"2008-10-05 16:15:00";"31";"3"
"5";"2008-10-05 13:00:00";"7";"11"
"5";"2008-10-05 13:00:00";"26";"14"
"5";"2008-10-05 13:00:00";"12";"9"
"5";"2008-10-05 13:00:00";"2";"15"
"5";"2008-10-05 13:00:00";"23";"21"
"5";"2008-10-05 13:00:00";"24";"27"
"5";"2008-10-05 13:00:00";"17";"29"
"5";"2008-10-05 13:00:00";"20";"18"
"5";"2008-10-05 16:05:00";"13";"25"
"5";"2008-10-05 16:15:00";"19";"5"
"5";"2008-10-05 16:15:00";"32";"1"
"5";"2008-10-05 20:15:00";"10";"6"
"5";"2008-10-06 20:30:00";"28";"22"
"6";"2008-10-12 13:00:00";"12";"2"
"6";"2008-10-12 13:00:00";"9";"7"
"6";"2008-10-12 13:00:00";"4";"5"
"6";"2008-10-12 13:00:00";"28";"16"
"6";"2008-10-12 13:00:00";"27";"21"
"6";"2008-10-12 13:00:00";"22";"23"
"6";"2008-10-12 13:00:00";"25";"26"
"6";"2008-10-12 13:00:00";"18";"30s"
"6";"2008-10-12 16:05:00";"13";"10"
"6";"2008-10-12 16:15:00";"29";"24"
"6";"2008-10-12 16:15:00";"31";"19"
"6";"2008-10-12 16:15:00";"32";"20"
"6";"2008-10-12 20:15:00";"15";"1"
"6";"2008-10-13 20:30:00";"8";"17"
"7";"2008-10-19 13:00:00";"3";"15"
"7";"2008-10-19 13:00:00";"5";"6"
"7";"2008-10-19 13:00:00";"14";"11"
"7";"2008-10-19 13:00:00";"2";"7"
"7";"2008-10-19 13:00:00";"26";"28"
"7";"2008-10-19 13:00:00";"21";"22"
"7";"2008-10-19 13:00:00";"17";"32"
"7";"2008-10-19 13:00:00";"30s";"19"
"7";"2008-10-19 16:05:00";"12";"23"
"7";"2008-10-19 16:15:00";"18";"8"
"7";"2008-10-19 16:15:00";"24";"9"
"7";"2008-10-19 16:15:00";"16";"4"
"7";"2008-10-19 20:15:00";"25";"29"
"7";"2008-10-20 20:30:00";"1";"13"
"8";"2008-10-26 13:00:00";"28";"15"
"8";"2008-10-26 13:00:00";"7";"16"
"8";"2008-10-26 13:00:00";"2";"3"
"8";"2008-10-26 13:00:00";"4";"14"
"8";"2008-10-26 13:00:00";"26";"31"
"8";"2008-10-26 13:00:00";"19";"25"
"8";"2008-10-26 13:00:00";"23";"18"
"8";"2008-10-26 13:00:00";"1";"30s"
"8";"2008-10-26 13:00:00";"20";"27"
"8";"2008-10-26 16:05:00";"10";"8"
"8";"2008-10-26 16:15:00";"6";"17"
"8";"2008-10-26 16:15:00";"32";"29"
"8";"2008-10-27 20:30:00";"11";"9"
"9";"2008-11-02 13:00:00";"3";"4"
"9";"2008-11-02 13:00:00";"5";"10"
"9";"2008-11-02 13:00:00";"8";"7"
"9";"2008-11-02 13:00:00";"22";"12"
"9";"2008-11-02 13:00:00";"21";"23"
"9";"2008-11-02 13:00:00";"14";"25"
"9";"2008-11-02 13:00:00";"30s";"31"
"9";"2008-11-02 13:00:00";"11";"24"
"9";"2008-11-02 16:05:00";"13";"2"
"9";"2008-11-02 16:15:00";"17";"19"
"9";"2008-11-02 16:15:00";"29";"20"
"9";"2008-11-02 16:15:00";"16";"27"
"9";"2008-11-02 20:15:00";"9";"1"
"9";"2008-11-03 20:30:00";"18";"6"
"10";"2008-11-06 20:15:00";"8";"13"
"10";"2008-11-09 13:00:00";"21";"11"
"10";"2008-11-09 13:00:00";"23";"10"
"10";"2008-11-09 13:00:00";"12";"5"
"10";"2008-11-09 13:00:00";"1";"3"
"10";"2008-11-09 13:00:00";"27";"28"
"10";"2008-11-09 13:00:00";"2";"29"
"10";"2008-11-09 13:00:00";"22";"24"
"10";"2008-11-09 13:00:00";"4";"30s"
"10";"2008-11-09 16:05:00";"16";"26"
"10";"2008-11-09 16:15:00";"6";"9"
"10";"2008-11-09 16:15:00";"15";"14"
"10";"2008-11-09 20:15:00";"20";"17"
"10";"2008-11-10 20:30:00";"31";"32"
"11";"2008-11-13 20:15:00";"1";"4"
"11";"2008-11-16 13:00:00";"27";"13"
"11";"2008-11-16 13:00:00";"9";"12"
"11";"2008-11-16 13:00:00";"10";"11"
"11";"2008-11-16 13:00:00";"2";"16"
"11";"2008-11-16 13:00:00";"17";"7"
"11";"2008-11-16 13:00:00";"26";"23"
"11";"2008-11-16 13:00:00";"5";"20"
"11";"2008-11-16 13:00:00";"24";"21"
"11";"2008-11-16 13:00:00";"14";"28"
"11";"2008-11-16 13:00:00";"25";"22"
"11";"2008-11-16 16:05:00";"32";"30s"
"11";"2008-11-16 16:05:00";"29";"31"
"11";"2008-11-16 16:15:00";"6";"15"
"11";"2008-11-16 20:15:00";"18";"19"
"11";"2008-11-17 20:30:00";"3";"8"
"12";"2008-11-20 20:15:00";"6";"5"
"12";"2008-11-23 13:00:00";"8";"12"
"12";"2008-11-23 13:00:00";"14";"3"
"12";"2008-11-23 13:00:00";"2";"1"
"12";"2008-11-23 13:00:00";"11";"4"
"12";"2008-11-23 13:00:00";"27";"26"
"12";"2008-11-23 13:00:00";"7";"20"
"12";"2008-11-23 13:00:00";"19";"32"
"12";"2008-11-23 13:00:00";"23";"25"
"12";"2008-11-23 13:00:00";"10";"22"
"12";"2008-11-23 13:00:00";"30s";"21"
"12";"2008-11-23 16:05:00";"13";"16"
"12";"2008-11-23 16:15:00";"31";"17"
"12";"2008-11-23 16:15:00";"29";"18"
"12";"2008-11-23 20:15:00";"15";"9"
"12";"2008-11-24 20:30:00";"28";"24"
"13";"2008-11-27 12:30:00";"23";"11"
"13";"2008-11-27 16:15:00";"19";"29"
"13";"2008-11-27 20:15:00";"20";"31"
"13";"2008-11-30 13:00:00";"8";"9"
"13";"2008-11-30 13:00:00";"5";"7"
"13";"2008-11-30 13:00:00";"4";"13"
"13";"2008-11-30 13:00:00";"30s";"2"
"13";"2008-11-30 13:00:00";"3";"32"
"13";"2008-11-30 13:00:00";"24";"26"
"13";"2008-11-30 13:00:00";"25";"28"
"13";"2008-11-30 13:00:00";"18";"17"
"13";"2008-11-30 16:05:00";"15";"27"
"13";"2008-11-30 16:15:00";"1";"6"
"13";"2008-11-30 16:15:00";"16";"14"
"13";"2008-11-30 20:15:00";"22";"21"
"13";"2008-12-1  20:30:00";"12";"10"
"14";"2008-12-04 20:15:00";"15";"16"
"14";"2008-12-07 13:00:00";"21";"10"
"14";"2008-12-07 13:00:00";"24";"12"
"14";"2008-12-07 13:00:00";"9";"5"
"14";"2008-12-07 13:00:00";"11";"8"
"14";"2008-12-07 13:00:00";"7";"18"
"14";"2008-12-07 13:00:00";"23";"22"
"14";"2008-12-07 13:00:00";"17";"20"
"14";"2008-12-07 13:00:00";"28";"27"
"14";"2008-12-07 16:05:00";"3";"2"
"14";"2008-12-07 16:05:00";"13";"14"
"14";"2008-12-07 16:05:00";"32";"4"
"14";"2008-12-07 16:15:00";"6";"19"
"14";"2008-12-07 16:15:00";"31";"30s"
"14";"2008-12-07 20:15:00";"29";"1"
"14";"2008-12-08 20:30:00";"26";"25"
"15";"2008-12-11 20:15:00";"21";"28"
"15";"2008-12-14 13:00:00";"7";"6"
"15";"2008-12-14 13:00:00";"26";"13"
"15";"2008-12-14 13:00:00";"12";"11"
"15";"2008-12-14 13:00:00";"14";"15"
"15";"2008-12-14 13:00:00";"4";"3"
"15";"2008-12-14 13:00:00";"27";"25"
"15";"2008-12-14 13:00:00";"5";"18"
"15";"2008-12-14 13:00:00";"9";"23"
"15";"2008-12-14 13:00:00";"10";"24"
"15";"2008-12-14 13:00:00";"2";"32"
"15";"2008-12-14 13:00:00";"30s";"29"
"15";"2008-12-14 16:05:00";"31";"22"
"15";"2008-12-14 16:15:00";"16";"1"
"15";"2008-12-14 20:15:00";"19";"17"
"15";"2008-12-15 20:30:00";"20";"8"
"16";"2008-12-18 20:15:00";"10";"9"
"16";"2008-12-20 20:15:00";"19";"7"
"16";"2008-12-21 13:00:00";"8";"5"
"16";"2008-12-21 13:00:00";"13";"3"
"16";"2008-12-21 13:00:00";"14";"2"
"16";"2008-12-21 13:00:00";"11";"6"
"16";"2008-12-21 13:00:00";"18";"20"
"16";"2008-12-21 13:00:00";"1";"31"
"16";"2008-12-21 13:00:00";"23";"28"
"16";"2008-12-21 13:00:00";"22";"27"
"16";"2008-12-21 13:00:00";"17";"26"
"16";"2008-12-21 13:00:00";"30s";"32"
"16";"2008-12-21 16:05:00";"29";"4"
"16";"2008-12-21 16:05:00";"16";"12"
"16";"2008-12-21 20:15:00";"25";"15"
"16";"2008-12-22 20:30:00";"21";"24"
"17";"2008-12-28 13:00:00";"6";"8"
"17";"2008-12-28 13:00:00";"9";"11"
"17";"2008-12-28 13:00:00";"3";"1"
"17";"2008-12-28 13:00:00";"7";"10"
"17";"2008-12-28 13:00:00";"5";"14"
"17";"2008-12-28 13:00:00";"4";"2"
"17";"2008-12-28 13:00:00";"25";"16"
"17";"2008-12-28 13:00:00";"20";"19"
"17";"2008-12-28 13:00:00";"22";"17"
"17";"2008-12-28 13:00:00";"12";"21"
"17";"2008-12-28 13:00:00";"27";"30s"
"17";"2008-12-28 13:00:00";"24";"23"
"17";"2008-12-28 13:00:00";"28";"26"
"17";"2008-12-28 16:15:00";"15";"13"
"17";"2008-12-28 16:15:00";"32";"18"
"17";"2008-12-28 16:15:00";"31";"29